Citation (APA),"Participants (number, demographics, age, etc.)","Study Type (e.g., RCT, observational, etc.)",Self-ID (Yes / No / N/A / Not Reported),Inclusion stuttering behavioral criteria,Standardized assessment used for inclusion (Y/N + list tools),Behavioral measure used for inclusion (Y/N + list tools),Behavioral measure used for outcome variable (Y/N + list tools),Study qualifies? (Yes on G or H criteria?),Behavioral measures for outcomes,Extra behavioral measures,"Other measures (e.g., imaging, CAEPs, neuro data)",Speech sample used for inclusion only? (Y/N),Speech sample used for grouping/categorization? (Y/N),Speech Sample A (type or description),Speech Sample B (type or description),Speech Sample C (type or description),Accounted for Time? (Y/N),Accounted for Task? (Y/N),Accounted for Setting? (Y/N),Potentially ignored variability,Accounted for variability,Ignored variability,Notes 1,Notes 2,Questions,Reviewer,Date Reviewed,Abstract
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children, 30 non-stuttering children (control group) and 30 children who stutter (study group) ranging in severity from Bloodstien I to Bloodstien IV in the age range of 8–18 years.",Case-Control Study,Not Reported,"Children who stutter, ranging in severity from Bloodstien I to Bloodstien IV",Not Reported,Not Reported,"Yes, Cortical Auditory evoked potentials (CAEPs)",Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,2025-05-18,"It has been hypothesized that impaired auditory processing influence the occurrence of stuttering. Also, it is suggested that speech perception in children who stutter differed from normal. Auditory processing should be investigated in children who stutter shortly after the onset of stuttering in order to evaluate the extent to which impaired auditory processing contributes to the development of stuttering. CAEPs provide the necessary temporal and spatial resolution to detect differences in auditory processing and the neural activity that is related or time-locked to the auditory stimulus. The primary goal of the present study was to determine the difference in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli."
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children, 30 non-stuttering children (control group) and 30 children who stutter (study group) ranging in severity from Bloodstien I to Bloodstien IV in the age range of 8–18 years.",Case-Control Study,Not Reported,"Children who stutter, ranging in severity from Bloodstien I to Bloodstien IV",Not Reported,Not Reported,"Yes, Cortical Auditory evoked potentials (CAEPs)",Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,2025-05-18,"It has been hypothesized that impaired auditory processing influence the occurrence of stuttering. Also, it is suggested that speech perception in children who stutter differed from normal. Auditory processing should be investigated in children who stutter shortly after the onset of stuttering in order to evaluate the extent to which impaired auditory processing contributes to the development of stuttering. CAEPs provide the necessary temporal and spatial resolution to detect differences in auditory processing and the neural activity that is related or time-locked to the auditory stimulus. The primary goal of the present study was to determine the difference in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli."
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children, 30 non-stuttering children (control group) and 30 children who stutter (study group) ranging in severity from Bloodstien I to Bloodstien IV in the age range of 8–18 years.",Case-Control Study,Not Reported,"Children who stutter, ranging in severity from Bloodstien I to Bloodstien IV",Not Reported,Not Reported,"Yes, Cortical Auditory evoked potentials (CAEPs)",Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,2025-05-18,"It has been hypothesized that impaired auditory processing influence the occurrence of stuttering. Also, it is suggested that speech perception in children who stutter differed from normal. Auditory processing should be investigated in children who stutter shortly after the onset of stuttering in order to evaluate the extent to which impaired auditory processing contributes to the development of stuttering. CAEPs provide the necessary temporal and spatial resolution to detect differences in auditory processing and the neural activity that is related or time-locked to the auditory stimulus. The primary goal of the present study was to determine the difference in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli."
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children, 30 non-stuttering children (control group) and 30 children who stutter (study group) ranging in severity from Bloodstien I to Bloodstien IV in the age range of 8–18 years.",Case-Control Study,Not Reported,"Children who stutter, ranging in severity from Bloodstien I to Bloodstien IV",Not Reported,Not Reported,"Yes, Cortical Auditory evoked potentials (CAEPs)",Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Cortical Auditory evoked potentials (CAEPs),Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,2025-05-19,"It has been hypothesized that impaired auditory processing influence the occurrence of stuttering. Also, it is suggested that speech perception in children who stutter differed from normal. Auditory processing should be investigated in children who stutter shortly after the onset of stuttering in order to evaluate the extent to which impaired auditory processing contributes to the development of stuttering. CAEPs provide the necessary temporal and spatial resolution to detect differences in auditory processing and the neural activity that is related or time-locked to the auditory stimulus. The primary goal of the present study was to determine the difference in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli."
Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children, 30 non-stuttering (control group) and 30 stuttering (study group), aged 8–18 years, with a gender distribution of 23 males and 7 females in the study group.",Case-control study,Not Reported,Stuttering severity classified from Bloodstien I to IV,"Y, tools not specified","Y, tools not specified","Y, tools not specified",Yes,CAEPs measures,Not Reported,CAEPs,No,No,Not Reported,Not Reported,Not Reported,No,No,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2023-11-27,It has been hypothesized that impaired auditory processing influences the occurrence of stuttering. The study aimed to determine the difference in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli.
Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","60 children, 30 non-stuttering (control group) and 30 stuttering (study group), aged 8-18 years, with a gender distribution of 23 males and 7 females in the study group.",Case-control study,Not Reported,Stuttering severity classified from Bloodstien I to IV,"Yes, tools include basic audiological evaluation such as pure tone audiometry, speech recognition threshold, speech discrimination, and immittancemetry.","Yes, tools include basic audiological evaluation such as pure tone audiometry, speech recognition threshold, speech discrimination, and immittancemetry.","Yes, tools include cortical auditory evoked potentials (CAEPs) using speech stimuli.",Yes,Cortical auditory evoked potentials (CAEPs),Not Reported,"Yes, CAEPs",No,No,Not Reported,Not Reported,Not Reported,No,No,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2023-11-27,"The study investigated the difference in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli, aiming to evaluate the extent to which impaired auditory processing contributes to the development of stuttering."
Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
"Ismail, N., Sallam, Y., Behery, R., & Al Boghdady, A. (2017). Cortical auditory evoked potentials in children who stutter. International Journal of Pediatric Otorhinolaryngology, 97, 93-101. https://doi.org/10.1016/j.ijporl.2017.03.030","{'total': 60, 'details': {'study_group': {'total': 30, 'age_range': '8–18 years', 'severity': 'Bloodstien I to Bloodstien IV', 'gender': '23 males, 7 females'}, 'control_group': {'total': 30, 'age_range': '8–18 years', 'gender': 'matched to study group'}}}",Case-control study,No,Stuttering severity classified by Bloodstien I to IV,"{'Y/N': 'Y', 'tools': ['Basic audiological evaluation', 'Pure tone audiometry', 'Speech recognition threshold', 'Speech discrimination', 'Immittancemetry']}","{'Y/N': 'Y', 'tools': ['Bloodstien classification']}","{'Y/N': 'Y', 'tools': ['CAEPs']}",Yes,CAEPs,Not Reported,CAEPs,No,No,Not Reported,Not Reported,Not Reported,No,No,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,ChatGPT,2023-11-27,It has been hypothesized that impaired auditory processing influences the occurrence of stuttering. This study investigates the differences in latency and amplitude of P1-N2 complex between children who stutter and non-stuttering children in response to speech stimuli.
